relative_time,AccX,AccY,AccZ,BarometerSensor,CompassSensor,MagneticRotationSensor
7677,-0.3232172429561615,0.2322375625371933,9.80904483795166,,277.52732358355024,47.67795484667034
7700,0.6991068720817566,0.1149216815829277,9.804255485534668,,273.1558590807696,
7720,,0.17238251864910126,9.521739959716797,,273.34024003741405,
7721,1.3311761617660522,,,,,
7738,0.8140285611152649,0.181959331035614,9.3828763961792,1005.052490234375,273.8609941503033,47.80742694333843
7758,-0.19393034279346466,0.35673606395721436,9.603142738342285,,276.1123884252796,
7776,-2.1356279850006104,0.6919242739677429,9.713275909423828,,291.2203365674301,
7796,,0.44532153010368347,10.070012092590332,,,
7797,-5.106832027435303,,,,52.81687954975189,47.64596986135792
7816,-7.108384609222412,0.05746084079146385,10.931924819946289,,83.70972612797658,
7836,-6.119579315185547,-0.047884032130241394,10.122684478759766,,85.75804521855002,
7856,,0.15801730751991272,8.939949035644531,,,
7857,-3.9911341667175293,,,,17.06905937740123,47.70950738600574
7876,-1.338358759880066,0.2106897532939911,7.9415669441223145,,278.14260068436334,
7896,1.4939818382263184,0.1173158809542656,8.197746276855469,,272.20999399393867,
7918,3.471592426300049,0.10534487664699554,9.284713745117188,1005.02978515625,271.44569582581425,47.33071952572226
7937,3.734954595565796,-0.023942016065120697,9.959878921508789,,270.49060315341467,
7957,2.7724854946136475,0.08140286058187485,10.278307914733887,,271.232320716143,
7981,1.0845733880996704,0.42856210470199585,10.055646896362305,,275.04174261250176,47.43772947317196
7998,-0.3687070608139038,0.6871358752250671,9.32541561126709,,280.60808040868454,
8018,-1.7070658206939697,0.8020575642585754,8.765172004699707,,290.9110724320011,
8039,-3.864241600036621,1.0031704902648926,8.892065048217773,,348.3390442800535,48.02552820662769
8058,-5.925649166107178,0.828393816947937,9.375694274902344,,57.7046756179343,
8078,-6.332663536071777,0.004788403399288654,10.587160110473633,,85.67720309953376,
8099,,,,1005.050048828125,,
8100,-5.135562419891357,-0.8020575642585754,11.281478881835938,,187.38788276716627,47.55729525147085
8118,-2.7461493015289307,-0.7134721279144287,10.884040832519531,,252.7917456930249,
8138,0.47405192255973816,-0.0694318488240242,9.658209800720215,,270.148328713727,
8159,3.157952070236206,0.38546648621559143,8.307879447937012,,273.0751057542125,48.19408000140379
8181,3.7852327823638916,0.3471592366695404,8.530540466308594,,273.51008635150475,
8199,2.782062292098999,0.27054479718208313,9.454702377319336,,273.66457840034127,
8220,0.7757213711738586,0.2059013396501541,9.782708168029785,,274.69168858734946,48.34901765875172
8239,-0.5315127968788147,0.3974374830722809,9.528923034667969,,280.52223176100665,
8259,-2.497152328491211,0.730231523513794,8.975862503051758,,309.29387771511927,
8280,-4.671087741851807,0.849941611289978,8.992621421813965,1005.066162109375,38.9539792706463,48.06434485803781
8299,-5.468356609344482,0.40940847992897034,9.586383819580078,,68.25362275326302,
8319,-4.572925090789795,0.028730420395731926,10.196905136108398,,63.735923900352304,
8340,-3.3279404640197754,-0.12449848651885986,10.232817649841309,,277.8164454911169,48.37120031295561
8359,-1.9393033981323242,-0.08858546614646912,9.871294021606445,,272.9840251816304,
8379,-0.5267243981361389,0.07661445438861847,9.32302188873291,,274.7964978401633,
8400,0.2753331959247589,0.19871874153614044,9.102754592895508,,275.6153350688103,48.059175793231994
8419,0.9744400978088379,0.40222588181495667,9.124302864074707,,275.9437237339153,
8440,0.8523358106613159,0.5003881454467773,9.385271072387695,,277.2246847316162,
8475,,,,1005.05029296875,,
8476,0.3208230137825012,0.47165772318840027,9.670180320739746,,277.7851359039616,48.06187239269535
8488,0.023942016065120697,0.5171475410461426,9.746794700622559,,279.85542088290583,
8504,-0.45489832758903503,0.6440402865409851,9.75637149810791,,283.50099337126505,
8520,,0.6799532771110535,,,,
8521,-0.8930372595787048,,9.567230224609375,,286.6683433346968,47.74243367297866
8540,-1.1013327836990356,0.49559974670410156,9.634267807006836,,281.13901150343713,
8566,-1.3407529592514038,0.3016694188117981,9.995792388916016,,277.35829689215996,
8582,,0.24181437492370605,,,,
8583,-1.580173134803772,,9.835380554199219,,276.82886843902475,47.53397364261009
8599,,0.3471592366695404,,,,
8600,-1.556231141090393,,9.605537414550781,,278.58784705597816,
8620,-1.3455413579940796,0.4429273009300232,9.536105155944824,,280.10556973106833,
